	Unnamed: 0	path	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
343240	762586	common_voice_en_23353731.mp3	The mountain was called the Mysian Olympus by the Romans who lived there before.		2	1	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
342897	762243	common_voice_en_23349140.mp3	Bland, with whom he had three daughters and a son.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
408890	854301	common_voice_en_27410951.mp3	He earned his first career strikeout against Royals shortstop Kurt Stillwell.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
407644	853055	common_voice_en_27085968.mp3	The Schoharie Creek flows northward through the town.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
184487	500341	common_voice_en_21846456.mp3	Gagauz is a distinct language from Balkan Gagauz Turkish.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
408493	853904	common_voice_en_27289301.mp3	Here they lived a hermitic penitential life characterised by prayer, manual work and silence.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
432210	880243	common_voice_en_27274338.mp3	Unser said that he wanted to come back, but it would never happen.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
401829	847236	common_voice_en_22448162.mp3	A sagittal crest developed in older individuals and extends over the brow ridges.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
476245	955984	common_voice_en_27038738.mp3	I want to go to the Mediterranean and Italy.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
179058	491963	common_voice_en_19310868.mp3	Tepoto Atoll is permanently uninhabited.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
476306	956045	common_voice_en_27039167.mp3	Is all the hype justified?		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450422	913654	common_voice_en_27249710.mp3	Othon met him while the little robosurgeon was treating Bari, his crippled son.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
123603	393339	common_voice_en_20386925.mp3	The Korean forces also discovered Chinese and Korean captives there.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
280802	662985	common_voice_en_29403814.mp3	As a zealous churchman and Protestant he still possessed a following.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
388096	831050	common_voice_en_22306534.mp3	However, Weld was not ready to move and both families remained in Lenawee.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
409042	854453	common_voice_en_27430146.mp3	This condition is determined by a single polymorphism.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
307028	699086	common_voice_en_24026666.mp3	He resides with his long-time wife, Kit.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
20730	138616	common_voice_en_19673994.mp3	Three main routes for the Main South Line were reported on by Mr. Woore.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
277832	659427	common_voice_en_27016670.mp3	The County levies a property tax.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
49224	226281	common_voice_en_23382337.mp3	He fought in several bloody battles.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
7303	72296	common_voice_en_28565796.mp3	They have a short pale supercilium, and the bill is strong and pointed.		2	1	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
41117	204010	common_voice_en_22257777.mp3	Its lyrics were written by Ashley Cartwright of The Shakes.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
477419	957158	common_voice_en_27155647.mp3	The resettlement idea did not get implemented.		3	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
222002	566776	common_voice_en_23594073.mp3	Realizing their fate, they call their families to say goodbye.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
476742	956481	common_voice_en_27077793.mp3	Like Pratchett, he used unique fonts for many of his supporting cast.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
433369	881402	common_voice_en_27521902.mp3	The dungeon level consists of slave quarters, torture chambers, and caverns.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450059	913291	common_voice_en_27214453.mp3	This film is now in the public domain.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
471793	947100	common_voice_en_27040689.mp3	It also occurs in some crystalline schist.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
450765	913997	common_voice_en_27291998.mp3	Flint squeezes the poison out of the wound, saving Cramden's life.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
451674	914906	common_voice_en_27407331.mp3	A Texan, he has degrees in mathematics and physics.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
16025	119153	common_voice_en_19673166.mp3	He created the first shop for paperbacks.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
452197	915429	common_voice_en_27482453.mp3	Several ways of testing exist.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
422772	870430	common_voice_en_27046399.mp3	That's What I Call Love written by Neil Finn and Paul Hester.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
325814	734225	common_voice_en_28710189.mp3	Heller was born in Teschen, Austrian Silesia.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
424190	871848	common_voice_en_27209907.mp3	But Ampata feels too much for Xander and leaves for the museum.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
154046	447910	common_voice_en_23709112.mp3	After his death, a memorial fund was set up in his name.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
427940	875677	common_voice_en_28284615.mp3	She backed out of working on later episodes though.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
19770	134618	common_voice_en_19657288.mp3	The company's Chief Executive Officer is Karyn Schoenbart.		3	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
467112	942419	common_voice_en_28027775.mp3	It is the birthplace of mathematician James MacCullagh.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
428258	875995	common_voice_en_28345566.mp3	He worked as a fireman for six months and held various positions there.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
168117	471898	common_voice_en_21942818.mp3	Santo-Dumont suffered only bruises.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
432455	880488	common_voice_en_27305734.mp3	"After repairing the transporter and reestablishing voice communications, ""Enterprise"" retreats to a safe distance."		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
473844	949151	common_voice_en_27290144.mp3	Subsequently, the band underwent a series of changes in its line-up.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
423280	870938	common_voice_en_27169290.mp3	However, current variants support it.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
388852	831806	common_voice_en_22404691.mp3	"Alternate titles considered were ""The Only Way to Love"" and ""Girl Crazy""."		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
452053	915285	common_voice_en_27468978.mp3	It is one of a few drawbridges on the Interstate Highway System.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
40838	203306	common_voice_en_19944367.mp3	The song won, and automatically advanced to Eurovision.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
479808	959547	common_voice_en_27437489.mp3	Variety in sex relations and economic freedom have nothing in common.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
476775	956514	common_voice_en_27093362.mp3	Lyle was born in Louisville, Kentucky.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
424053	871711	common_voice_en_27190782.mp3	In two of these counties, Harghita and Covasna, Hungarians form the majority of inhabitants.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
134224	411665	common_voice_en_18861140.mp3	The administrative head of the zone is called General Manager.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
417720	865360	common_voice_en_27366235.mp3	All in all Loehlin finds admixture studies inconclusive and recommends more research.		2	1	teens	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450200	913432	common_voice_en_27234649.mp3	She is currently the Saint Gowan lightvessel.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
249953	612720	common_voice_en_21269562.mp3	The Punisher used this home as the residence of John Travolta's character Mr. Saint.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
429524	877557	common_voice_en_27186953.mp3	When local farmers have a bad harvest, the Hillsboro economy can also suffer.		2	0	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
287075	670856	common_voice_en_22867245.mp3	The latter was this reunion's last gig, the project disbanding shortly afterwards.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
418215	865855	common_voice_en_27503866.mp3	Many scientific advances were also achieved during this period.		2	0	teens	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
51576	232899	common_voice_en_35028619.mp3	More specifically, he is interested in the computational aspects of algebra and analysis.		4	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
201266	531095	common_voice_en_22405011.mp3	I wasn't talking to anybody.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
30619	174380	common_voice_en_18638226.mp3	We sell an assortment of screws.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
476318	956057	common_voice_en_27039212.mp3	He was of Huguenot descent.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
472496	947803	common_voice_en_27157418.mp3	They assigned the infamous identification numbering system using discs.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
378098	811644	common_voice_en_22334570.mp3	The series has been enduringly popular.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
475378	950685	common_voice_en_27460199.mp3	The mission had exceeded its goals in the first month.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
141543	424589	common_voice_en_23735331.mp3	High courts have original and appellate jurisdiction.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
388221	831175	common_voice_en_22317252.mp3	The university is composed of six faculties, spread over three campuses.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
197741	524605	common_voice_en_23690748.mp3	The locomotives were built by three workshops, each with a different naming system.		3	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
276868	657853	common_voice_en_18738202.mp3	Dar es Salaam is widely regarded as a desirable family post by expatriates.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
415126	862766	common_voice_en_23384473.mp3	That should have been enough.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
154874	449756	common_voice_en_18723595.mp3	The name Triggshire has been adopted by different clubs and organizations in the area.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
464321	939628	common_voice_en_26989269.mp3	"In the ""Later Judean ministry"" Jesus starts his final journey to Jerusalem through Judea."		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
431092	879125	common_voice_en_27479913.mp3	It is home to Delta College.		2	0	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
479484	959223	common_voice_en_27407666.mp3	Hence, for that period, the Lebanese were not distinguished from Syrians.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
215874	558811	common_voice_en_23345678.mp3	The head is coloured a dark grey.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
471458	946765	common_voice_en_27010542.mp3	The longer it is depressed, the farther the unit launches.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
415270	862910	common_voice_en_23403172.mp3	Lansdowne was a rural constituency in the province's southwestern corner.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
422868	870526	common_voice_en_27047601.mp3	It has been described as politically liberal.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
67920	276225	common_voice_en_23682239.mp3	After his playing career ended, Wennington became a radio color commentator for the Bulls.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
464597	939904	common_voice_en_27078648.mp3	The samples are sent to an Archaeomagnetic Laboratory for processing.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
313212	711906	common_voice_en_18872887.mp3	He was inspired by the works of Ayn Rand, particularly Atlas Shrugged.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
476183	955922	common_voice_en_27018794.mp3	"Other notable songs from the album are ""Halifot,"" ""Hakafa Metzaltzelet"" and ""Rak Po""."		3	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
361998	787696	common_voice_en_27228213.mp3	But, for the most part, she tends to be uninvolved in politics.		2	0	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
75266	293714	common_voice_en_18844774.mp3	Barclay Township was named for an early settler.		2	0	fourties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
222080	566854	common_voice_en_27643945.mp3	The municipality comprises no other population centres.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
249965	612732	common_voice_en_21269574.mp3	Hence market prices do not always accurately reflect what people value.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
332254	748443	common_voice_en_21399229.mp3	They were recognized by organizations in the fields of journalism, history, and the arts.		2	1	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
473376	948683	common_voice_en_27257993.mp3	"In reality, the gremlins were a form of ""buck passing"" or deflecting blame."		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
312761	711455	common_voice_en_18852400.mp3	The Chalaronne flows northwest through the middle of the commune and crosses the village.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
19146	132175	common_voice_en_18836252.mp3	And to also try to get friends for the future.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
466201	941508	common_voice_en_27564740.mp3	"One of his sunsequent tracks, ""Salty Dog Blues"", became his most famous song."		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
470281	945588	common_voice_en_27344475.mp3	Her image stands next to other musical greats including Fats Domino.		2	0	fourties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
393777	838864	common_voice_en_30502039.mp3	All the Muslims of Tbilisi at the time were buried in this cemetery.		4	2	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
430384	878417	common_voice_en_27293476.mp3	He wanted never to leave the upper air again.		2	1	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
46197	218236	common_voice_en_23635387.mp3	Penney was traded that offseason to Winnipeg for Brian Hayward.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
416945	864585	common_voice_en_27223687.mp3	Bell Shakespeare has a well-developed education program, conceived by company founder John Bell.		2	0	teens	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
479545	959284	common_voice_en_27415958.mp3	The splash pages of the first four chapters all show Matt Murdock lying down.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
466765	942072	common_voice_en_27688858.mp3	David also played for the New Orleans Saints and Detroit Lions.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
201284	531113	common_voice_en_22405527.mp3	During his school years, Tyson was often teased about his looks.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
96113	335494	common_voice_en_18876175.mp3	Jan Lievens painted him marvelously.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
473669	948976	common_voice_en_27286855.mp3	But the robust, sweet, smooth flavor and cedar notes makes Booker's a favorite.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
166759	469261	common_voice_en_22311701.mp3	It is currently represented by Peter Khalil of the Australian Labor Party.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
422890	870548	common_voice_en_27047720.mp3	Gubbay had presented a story on her program E!		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
100851	346053	common_voice_en_22670550.mp3	"Their second single, ""Beatbox"", was featured on ""American Idol""."		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
451248	914480	common_voice_en_27348056.mp3	Eisenhower and the Hippies was covered by Man or Astro-man?		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
466449	941756	common_voice_en_27617086.mp3	Holy Spirit was the first in-game vocal theme Sakimoto has written.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
471632	946939	common_voice_en_27014828.mp3	Dundas Island was named by Captain George Vancouver in Dundas' honour.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
148962	437186	common_voice_en_20386623.mp3	"Members of this genus are sometimes also placed in the genus ""Chrysanthemum""."		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
177461	489399	common_voice_en_23352735.mp3	Thomas Michael Holt for the Democratic gubernatorial nomination.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
235995	589996	common_voice_en_25271708.mp3	His problems are not merely a result of personal insanity, without larger significance.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
393443	838530	common_voice_en_30442358.mp3	Five burial mounds from the Bronze Age have been discovered on the island.		4	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
49272	226537	common_voice_en_31709951.mp3	Lieutenant Colonel Elchin Mammadov was appointed commander of the unit.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
84468	311941	common_voice_en_18723889.mp3	It now accepts day pupils but is still predominantly a boarding school.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
343399	762745	common_voice_en_23354109.mp3	"According to the medieval historian Rodulfus Glaber, Susa was ""the oldest of Alpine towns""."		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
324357	732767	common_voice_en_23728997.mp3	The driver of the northbound train sought safety in the engine room.		2	0	thirties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
401975	847382	common_voice_en_22511956.mp3	He participated in two World Championship Formula One Grands Prix, scoring no championship points.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
418202	865842	common_voice_en_27474145.mp3	The festival typically lasts four days and is held in the early autumn.		2	1	teens	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
225951	574082	common_voice_en_22793145.mp3	"She had also made appearances on the National Lottery Show and ""Blue Peter""."		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
70018	281070	common_voice_en_30313583.mp3	Things get complicated when Amrita discovers she is pregnant.		4	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
479854	959593	common_voice_en_27444937.mp3	Thirteen stars were also included on the obverse.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
429121	877154	common_voice_en_27105373.mp3	Its first minister was Charles Marx.		2	1	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
430088	878121	common_voice_en_27273088.mp3	The quarterback can also run the opposite way depending on how the defense reacts.		2	1	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
464101	939405	common_voice_en_22323970.mp3	The complex is named for American humorist and writer Will Rogers.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
397635	843039	common_voice_en_27315482.mp3	The house is of three floors.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
388452	831406	common_voice_en_22332929.mp3	Ross's ascent showed Cherokee leaders recognized the importance of educated, English-speaking leaders.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
276780	657765	common_voice_en_18711987.mp3	He received the man of the match award for his performance.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450005	913237	common_voice_en_27214039.mp3	The reference to a malevolent Samaritan is, however, a familiar device of Jewish literature.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
76510	296430	common_voice_en_18733670.mp3	He wrote, illustrated, and published, City Heat, a Collection of Stories and Poems.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
398114	843518	common_voice_en_27353621.mp3	It is now owned by Bell Media through its Bell Media Radio division.		3	2	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
477418	957157	common_voice_en_27155646.mp3	Jonah escapes and races back to tell Mike and Larry.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
398593	843997	common_voice_en_27467296.mp3	He worked for a while as a lawyer before entering politics.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
429941	877974	common_voice_en_27228986.mp3	Rock and Roll Divorce was a half-official release.		2	0	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
141582	424628	common_voice_en_23743194.mp3	Weeping, Miriam tells him there is no release.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
150991	441568	common_voice_en_20457767.mp3	"See also the section of ""Young Adult Readers Novels"" in this article."		2	0	fifties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
141567	424613	common_voice_en_23742197.mp3	Each user-defined function carries certain properties or characteristics.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450976	914208	common_voice_en_27302830.mp3	Alex is determined not to let the past repeat itself and lose her again.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
430402	878435	common_voice_en_27293867.mp3	His psychology is good.		2	0	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
450042	913274	common_voice_en_27214360.mp3	The parvocellular nuclei regulate exhalation.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
408404	853815	common_voice_en_27287390.mp3	Reginald went to refortify his own castle of Belfort on the Litani River.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
398646	844050	common_voice_en_27467641.mp3	The main nucleus of pure eastern wolves is currently concentrated within Algonquin Provincial Park.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
409120	854531	common_voice_en_27473993.mp3	This was the same set used to shoot the movie.		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
465802	941109	common_voice_en_27498770.mp3	To perform a kamikaze knot, a sheepshank is first constructed.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
